,15歳未満,15~64歳,65歳以上,合計,高齢者割合,15歳未満割合
1947,2757.3,4678.3,374.5,7810.1,4.795073046,35.30428548
1948,2829.6,4786.2,384.4,8000.2,4.804879878,35.36911577
1949,2903,4877.5,396.8,8177.3,4.852457413,35.5007154
1950,2943,4966.1,410.9,8320,4.938701923,35.37259615
1951,2966.2,5073.4,417.7,8457.3,4.9389285,35.07265912
1952,2970,5184.5,430.6,8585.1,5.015666678,34.59482126
1953,2975.2,5285.4,442.8,8703.4,5.087666889,34.18434175
1954,2988.8,5380.5,460,8829.3,5.209926042,33.85092816
1955,2979.8,5473,474.7,8927.5,5.317278073,33.37776533
1956,2941.4,5600.2,484.3,9025.9,5.365669905,32.58843993
1957,2890.9,5724.1,493.8,9108.8,5.421131214,31.73744072
1958,2851.3,5843.3,506.5,9201.1,5.504776603,30.98868614
1959,2810.9,5965.6,520.9,9297.4,5.602641599,30.23318347
1960,2806.7,6000.2,535,9341.9,5.726886394,30.04420942
1961,2806.7,6071.5,550.3,9428.5,5.836559368,29.76825582
1962,2727.4,6226.1,564.2,9517.7,5.92790275,28.65608288
1963,2641.6,6390.3,583.6,9615.5,6.069367168,27.47231033
1964,2559,6558,601.6,9718.6,6.190192003,26.33095302
1965,2516.6,6692.8,618.1,9827.5,6.289493767,25.6077334
1966,2452.1,6811.2,642,9905.3,6.481378656,24.75543396
1967,2441.6,6916.1,666.6,10024.3,6.649840887,24.35681294
1968,2442.2,7008.6,689.9,10140.7,6.80327788,24.08315008
1969,2460.1,7093.8,710.9,10264.8,6.925609851,23.96637051
1970,2482.3,7156.6,733.1,10372,7.068067875,23.93270343
1971,2516.9,7232.1,752.4,10501.4,7.164758985,23.96728055
1972,2597,7348.3,787.9,10733.2,7.34077442,24.19595274
1973,2644.7,7410.4,816,10871.1,7.506140133,24.32780491
1974,2685,7474.2,845.7,11004.9,7.684758608,24.39822261
1975,2723.2,7583.9,886.9,11194,7.922994461,24.32731821
1976,2749.2,7639.5,920.1,11308.8,8.136141766,24.31027165
1977,2764.9,7694.4,956.1,11415.4,8.375527796,24.22078946
1978,2770.8,7754.5,992.1,11517.4,8.613923281,24.05751298
1979,2766.4,7816.1,1030.9,11613.4,8.876814714,23.82075878
1980,2752.4,7888.4,1065.3,11706.1,9.100383561,23.51252766
1981,2760.3,7927.2,1100.9,11788.4,9.338841573,23.4153914
1982,2725.4,8008.9,1135,11869.3,9.56248473,22.96175849
1983,2690.7,8090.4,1167.2,11948.3,9.768753714,22.51952161
1984,2650.4,8177.6,1195.6,12023.6,9.943777238,22.04331481
1985,2604.2,8253.5,1247.2,12104.9,10.30326562,21.51360193
1986,2543.4,8336.8,1287,12167.2,10.57761852,20.90374121
1987,2475.3,8418.9,1332.2,12226.4,10.8960937,20.24553425
1988,2398.5,8501.3,1378.5,12278.3,11.22712428,19.53446324
1989,2320.1,8574.5,1430.9,12325.5,11.60926534,18.82357714
1990,2254.4,8614,1492.8,12361.2,12.07649743,18.23771155
1991,2190.4,8655.7,1558.2,12404.3,12.56177293,17.65839265
1992,2136.4,8684.5,1624.2,12445.1,13.05091964,17.16659569
1993,2084.1,8702.3,1690,12476.4,13.54557404,16.70433779
1994,2041.5,8703.4,1758.5,12503.4,14.06417454,16.3275589
1995,2003.3,8726,1827.7,12557,14.55522816,15.95365135
1996,1968.6,8716.1,1901.7,12586.4,15.10916545,15.64069154
1997,1936.6,8704.2,1975.8,12616.6,15.66032053,15.34961876
1998,1905.9,8692,2050.8,12648.7,16.21352392,15.06795165
1999,1874.2,8675.8,2118.6,12668.6,16.72323698,14.79405775
2000,1850.5,8638,2204.1,"12,693 ",17.36523644,14.5793612
2001,1828.3,8613.9,2286.9,"12,729 ",17.96592061,14.36315215
2002,1810.2,8570.6,2362.8,"12,744 ",18.5410716,14.2047773
2003,1790.5,8540.4,2431.1,"12,762 ",19.04952202,14.02993261
2004,1773.4,8507.7,2487.6,"12,769 ",19.48201461,13.88864959
2005,1758.5,8442.2,2576.1,"12,777 ",20.16232546,13.7632271
2006,1743.5,8373.1,2660.4,"12,777 ",20.82178915,13.64561321
2007,1729.3,8301.5,2746.4,"12,777 ",21.49453714,13.53426416
2008,1717.6,8230,2821.6,"12,769 ",22.09692072,13.45111675
2009,1701.1,8149.3,2900.5,"12,751 ",22.74741391,13.34101907
2010,1683.9,8173.5,2948.4,"12,806 ",23.02394228,13.14951038
2011,1670.5,8134.2,2975.2,"12,780 ",23.28030736,13.07130729
2012,1654.7,8017.5,3079.3,"12,752 ",24.14853155,12.97651257
2013,1639,7901,3189.8,"12,730 ",25.05773853,12.87530048
2014,1623.3,7785,3300,"12,708 ",25.96728123,12.7735417
2015,1594.5,7728.2,3386.8,"12,710 ",26.64778315,12.54573351